id,name,country,type
"Q393188","Żubrówka","Poland","vodka"
"Q777721","Smirnoff","Russia","vodka"
"Q777721","Smirnoff","Russian Empire","vodka"
"Q1354879","Eristoff","","vodka"
"Q1539525","Stolichnaya","Russia","vodka"
"Q1539525","Stolichnaya","Soviet Union","vodka"
"Q1628822","Wódka Żołądkowa Gorzka","","vodka"
"Q1726904","Puschkin Vodka","","vodka"
"Q1793245","Rachmaninoff","Germany","vodka"
"Q2453497","Putinka","","vodka"
"Q2587685","Gorbatschow","Berlin","vodka"
"Q3269196","Viru Valge","Estonia","vodka"
"Q4353923","Vikingfjord","Norway","vodka"
"Q7209033","Polar Ice","Canada","vodka"
"Q7312560","Renat","Sweden","vodka"
"Q7550050","Sobieski Vodka","Poland","vodka"
"Q9347621","Stön","Estonia","vodka"
"Q11802565","Pan Tadeusz","","vodka"
"Q22236238","Mariette","","vodka"
"Q23134124","Blue Diamond Vodka","Estonia","vodka"
"Q26883692","Crystal Head Vodka","Canada","vodka"
"Q48977591","Deep Eddy Vodka","","vodka"
"Q107542782","Tito's Handmade Vodka","","vodka"
